codigo,descricao,uq,rg,sadc,ua,requisitos,observacao
01.01,"Cavalos, asininos e muares, vivos.",,,,,,
,- Cavalos:,,,,,,
0101.21.00,-- Reprodutores de raça pura……………………………..…………...,U,Livre,,,,
0101.29.00,-- Outros……………………………………..………………………..,U,Livre,,,,
0101.30.00,-- Asininos ………………………………………………..…………...,U,Livre,,,,
0101.90.00,- Outros………………………………………..………………………,U,Livre,,,,
01.02,Animais vivos da espécie bovina.,,,,,,
,- Bovinos domésticos:,,,,,,
0102.21.00,-- Reprodutores de raça pura………………………………….……...,U,Livre,,,,
0102.29.00,-- Outros……………………………………….……………………..,U,Livre,,,,
,- Búfalos:,,,,,,
0102.31.00,-- Reprodutores de raça pura……………………………….………...,U,Livre,,,,
0102.39.00,-- Outros………………………………………….…………………..,U,Livre,,,,
0102.90,- Outros:,,,,,,
0102.90.10,-- Palanca Negra Gigante (Hippotragus niger variani)……………………………………,U,50,,,,
0102.90.90,-- Outros………………………………………………..……………...,U,Livre,,,,
01.03,Animais vivos da espécie suína.,,,,,,
0103.10.00,- Reprodutores de raça pura………………………….……………….,U,Livre,,,,
,- Outros:,,,,,,
0103.91.00,-- De peso inferior a 50 kg………………………………………….,U,Livre,,,,
0103.92.00,-- De peso igual ou superior a 50 kg………………………………..,U,Livre,,,,
01.04,Animais vivos das espécies ovina e caprina.,,,,,,
0104.10,- Ovinos:,,,,,,
0104.10.12,-- Reprodutores de raça pura…………………………………………,U,Livre,,,,
0104.10.19,-- Outros……………………………………………………………...,U,Livre,,,,
0104.20,- Caprinos:,,,,,,
0104.20.21,-- Reprodutores de raça pura…………………………………………,U,Livre,,,,
0104.20.29,-- Outros……………………………………………………………...,U,Livre,,,,
01.05,"Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e pintadas (galinhas-d´angola), das espécies domésticas, vivos.",,,,,,
,- De peso não superior a 185 g:,,,,,,
0105.11,-- Aves da espécie Gallus domesticus:,,,,,,
,--- Pintos-fêmeas para seleção e multiplicação:,,,,,,
0105.11.11,---- Raças poedeiras………………………………………………………………..,U,Livre ,,,,
0105.11.12,---- Outros……………………………………………………………………….,U,10,,,,
0105.11.19,--- Outros…………………………………………………………………………..,U,10,,,,
0105.12.00,-- Peruas e perus…………………………………………………,U,10,,,,
0105.13.00,-- Patos……………………………………………………………..,U,10,,,,
0105.14.00,-- Gansos…………………………………………………….……,U,10,,,,
0105.15.00,-- Pintadas (galinhas-d´angola )………………………….……,U,10,,,,
,- Outros:,,,,,,
0105.94.00,-- Aves da espécie Gallus domesticus …………………………,U,10,,,,
0105.99.00,-- Outros…………………………………………………………,U,10,,,,
01.06,Outros animais vivos.,,,,,,
,- Mamíferos:,,,,,,
0106.11.00,-- Primatas………………………………………………………….,U,10,,,,
0106.12.00,"-- Baleias, golfinhos e botos (mamíferos da ordem Cetacea); manatins (peixes-boi) e dugongos (mamíferos da ordem Sirenia); otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)",U,10,,,,
0106.13.00,-- Camelos e outros camelídeos (Camelidae)……………………….,U,10,,,,
0106.14.00,-- Coelhos e Lebres…………………………………….……………,U,10,,,,
0106.19.00,-- Outros…………………………………………………………….,U,10,,,,
0106.20.00,- Répteis (incluindo as serpentes e as tartarugas marinhas) ………...,U,10,,,,
,- Aves:,,,,,,
0106.31.00,-- Aves de rapina……………………………………………………,U,10,,,,
0106.32.00,"-- Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas)…………………....",U,10,,,,
0106.33.00,-- Avestruzes; emus (Dromaius novaehollandiae)…………………,U,10,,,,
0106.39.00,-- Outras…………………………………………………………….,U,10,,,,
,- Insectos:,,,,,,
0106.41.00,-- Abelhas……………………………………………………...……,U,10,,,,
0106.49.00,-- Outros…………………………………………………………….,U,10,,,,
0106.90.00,- Outros……………………………………………………………...,U,10,,,,
02.01,"Carnes de animais da espécie bovina, frescas ou refrigeradas.",,,,,,
0201.10.00,- Carcaças e meias-carcaças…………………………………..…….………,Kg,20,,,,
0201.20.00,- Outras peças não desossadas…………………………….………..……...,Kg,20,,,,
0201.30.00,- Desossadas………………………………………………………………...,Kg,20,,,,
02.02,"Carnes de animais da espécie bovina, congeladas.",,,,,,
0202.10.00,- Carcaças e meias-carcaças…………………………….…………..……...,Kg,20,,,,
0202.20.00,- Outras peças não desossadas……………………….……………..……...,Kg,20,,,,
0202.30.00,- Desossadas………………………………………………………………...,Kg,20,,,,
02.03,"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.",,,,,,
,- Frescas ou refrigeradas:,,,,,,
0203.11.00,-- Carcaças e meias-carcaças…………………………….…………....……,Kg,20,,,,
0203.12,"-- Pernas, pás e respectivos pedaços, não desossados:",,,,,,
0203.12.10,--- Costeletas……………………………………………………………,Kg,20,,,,
0203.12.20,--- Entrecosto……………………………………………………………,Kg,20,,,,
0203.12.90,--- Outras………………………………………………………………..,Kg,20,,,,
0203.19,-- Outras:,,,,,,
0203.19.10, --- Toucinho entremeado com camada de carne ………………………………..,Kg,20,,,,
0203.19.20,--- Lombo……………………………………………………………,Kg,20,,,,
0203.19.40,--- Febras……………………………………………………………,Kg,20,,,,
0203.19.50,--- Barriga de porco……………………………………………………………,Kg,20,,,,
0203.19.90,--- Outras………………………………………………………………..,Kg,20,,,,
,- Congeladas:,,,,,,
0203.21.00,-- Carcaças e meias-carcaças……………………………..………...………,Kg,20,,,,
0203.22,"-- Pernas, pás e respectivos pedaços, não desossados:",,,,,,
0203.22.10,--- Costeletas……………………………………………………………,Kg,20,,,,
0203.22.20,--- Entrecosto……………………………………………………………,Kg,20,,,,
0203.22.90,--- Outras………………………………………………………………..,Kg,20,,,,
0203.29,-- Outras:,,,,,,
0203.29.10, --- Toucinho entremeado com camada de carne …………………………………………..,Kg,20,,,,
0203.29.20,--- Lombo……………………………………………………………,Kg,20,,,,
0203.29.40,--- Febras……………………………………………………………,Kg,20,,,,
0203.29.50,--- Barriga de porco……………………………………………………………,Kg,20,,,,
0203.29.90,--- Outras……………………………………………………………,Kg,20,,,,
02.04,"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.",,,,,,
0204.10.00,"- Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas……..……",Kg,20,,,,
,"- Outras carnes de animais da espécie ovina, frescas ou refrigeradas:",,,,,,
0204.21.00,-- Carcaças e meias-carcaças…………………………………………..…..,Kg,20,,,,
0204.22.00,-- Outras peças não desossadas……………………………..………...…….,Kg,20,,,,
0204.23.00,-- Desossadas………………………………………………...………..……,Kg,20,,,,
0204.30.00,"- Carcaças e meias-carcaças de cordeiro, congeladas………………….……",Kg,20,,,,
,"- Outras carnes de animais da espécie ovina, congeladas:",,,,,,
0204.41.00,-- Carcaças e meias-carcaças……………………………...…………..…...,Kg,20,,,,
0204.42.00,-- Outras peças não desossadas……………………………...………...……,Kg,20,,,,
0204.43.00,-- Desossadas…………………………………………………………..……,Kg,20,,,,
0204.50.00,- Carnes de animais da espécie caprina…………………………….………,Kg,20,,,,
0205.00.00,"Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas…",Kg,20,,,,
02.06,"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.",,,,,,
0206.10.00,"- Da espécie bovina, frescas ou refrigeradas………………………..…..….",Kg,10,,,,
,"- Da espécie bovina, congeladas:",,,,,,
0206.21.00,-- Línguas…………………………………………..……............................,Kg,50,,,,
0206.22.00,-- Fígados…………………………………………………..……….………,Kg,10,,,,
0206.29,-- Outras:,,,,,,
0206.29.10,--- Rabos………………………………,Kg,10,,,,
0206.29.90,"-- Outras (cabeça e partes da cabeça (incluindo as orelhas), patas, corações, úberes, rins, timos (molejas), pâncreas, miolos, bofes (pulmões), goelas, diafragmas, baços, redenhos, medulas espinais, peles comestíveis, órgãos reprodutores (por exemplo, úteros, ovários, testículos), tiroides e hipófises)…….....",Kg,50,,,,
0206.30.00,"- Da espécie suína, frescas ou refrigeradas………………………..…..……",Kg,10,,,,
,"- Da espécie suína, congeladas:",,,,,,
0206.41.00,-- Fígados…………………………………………………..………..……..,Kg,10,,,,
0206.49.00,"-- Outras (cabeça e partes da cabeça (incluindo as orelhas), patas, rabos, corações, úberes, rins, timos (molejas), pâncreas, miolos, bofes (pulmões), goelas, diafragmas, baços, redenhos, medulas espinais, peles comestíveis, órgãos reprodutores (por exemplo, úteros, ovários, testículos), tiroides e hipófises)…….....",Kg,50,,,,
0206.80.00,"- Outras, frescas ou refrigeradas……………………………………....……",Kg,10,,,,
0206.90,"- Outras, congeladas…………………………..……………………...……..",,,,,,
0206.90.10,-- Fígados…………………………………………………..………..……..,Kg,10,,,,
0206.90.90,"-- Outras (cabeça e partes da cabeça (incluindo as orelhas), patas, rabos, corações, úberes, rins, timos (molejas), pâncreas, miolos, bofes (pulmões), goelas, diafragmas, baços, redenhos, medulas espinais, peles comestíveis, órgãos reprodutores (por exemplo, úteros, ovários, testículos), tiroides e hipófises)…….....",Kg,50,,,,
02.07,"Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.",,,,,,
,- De aves da espécie Gallus domesticus:,,,,,,
0207.11.00,"-- Não cortadas em pedaços, frescas ou refrigeradas……………….....……",Kg,10,,,,
0207.12.00,"-- Não cortadas em pedaços, congeladas………………………………..…..",Kg,10,,,,
0207.13,"-- Pedaços e miudezas, frescos ou refrigerados:",,,,,,
,--- Pedaços: ,,,,,,
0207.13.10,---- Desossados………………………………………,Kg,10,,,,
,---- Não desossadas: ,,,,,,
0207.13.20,----- Metades ou quartos,Kg,10,,,,
0207.13.30,"----- Asas inteiras, mesmo sem a ponta",Kg,10,,,,
0207.13.40,"-----Dorsos, pescoços, dorsos com pescoço, uropígios, pontas de asas",Kg,50,,,,
0207.13.50,----- Peitos e pedaços de peitos,Kg,10,,,,
0207.13.60,----- Coxas e pedaços de coxas,Kg,10,,,,
0207.13.70,----- Outros……………………………………………………………………………..,Kg,10,,,,
,--- Miudezas: ,,,,,,
0207.13.80,---- Corações………………………………………………………………………….,Kg,10,,,,
0207.13.90,"-- Outras (cabeça e partes da cabeça (incluindo as orelhas), patas, rabos, úberes, rins, figados, timos (molejas), pâncreas, miolos, bofes (pulmões), goelas, diafragmas, baços, redenhos, medulas espinais, peles comestíveis, órgãos reprodutores (por exemplo, úteros, ovários, testículos), tiroides e hipófises)…….....",Kg,50,,,,
0207.14,"-- Pedaços e miudezas, congelados:",,,,,,
,--- Pedaços: ,,,,,,
0207.14.10,---- Desossados………………………………,Kg,10,,,,
,---- Não desossadas: ,,,,,,
0207.14.20,----- Metades ou quartos,Kg,10,,,,
0207.14.30,"----- Asas inteiras, mesmo sem a ponta",Kg,10,,,,
0207.14.40,"-----Dorsos, pescoços, dorsos com pescoço, uropígios, pontas de asas",Kg,10,,,,
0207.14.50,----- Peitos e pedaços de peitos,Kg,10,,,,
0207.14.60,----- Coxas e pedaços de coxas,Kg,10,,,,
0207.14.70,----- Outros,Kg,10,,,,
,--- Miudezas: ,,,,,,
0207.14.80,---- Corações…………………………………………………,Kg,10,,,,
0207.14.90,"-- Outras (cabeça e partes da cabeça (incluindo as orelhas), patas, rabos, úberes, rins, figados, timos (molejas), pâncreas, miolos, bofes (pulmões), goelas, diafragmas, baços, redenhos, medulas espinais, peles comestíveis, órgãos reprodutores (por exemplo, úteros, ovários, testículos), tiroides e hipófises)…….....",Kg,50,,,,
,- De peruas e de perus:,,,,,,
0207.24.00,"-- Não cortadas em pedaços, frescas ou refrigeradas……….……….……",Kg,10,,,,
0207.25.00,"-- Não cortadas em pedaços, congeladas……………….……....................",Kg,10,,,,
0207.26,"-- Pedaços e miudezas, frescos ou refrigerados:",,,,,,
,--- Pedaços: ,,,,,,
0207.26.10,---- Desossados……………………,Kg,10,,,,
,---- Não desossadas: ,,,,,,
0207.26.20,----- Metades ou quartos,Kg,10,,,,
0207.26.30,"----- Asas inteiras, mesmo sem a ponta",Kg,10,,,,
0207.26.40,"-----Dorsos, pescoços, dorsos com pescoço, uropígios, pontas de asas",Kg,50,,,,
0207.26.50,----- Peitos e pedaços de peitos,Kg,10,,,,
0207.26.60,----- Coxas e pedaços de coxas,Kg,10,,,,
0207.26.70,----- Outros……………………………………………………………………………..,Kg,10,,,,
,--- Miudezas: ,,,,,,
0207.26.80,---- Corações…………………………………………………,Kg,10,,,,
0207.26.90,"-- Outras (cabeça e partes da cabeça (incluindo as orelhas), patas, rabos, úberes, rins, figados, timos (molejas), pâncreas, miolos, bofes (pulmões), goelas, diafragmas, baços, redenhos, medulas espinais, peles comestíveis, órgãos reprodutores (por exemplo, úteros, ovários, testículos), tiroides e hipófises)…….....",Kg,50,,,,
0207.27.00,"-- Pedaços e miudezas, congelados:",Kg,10,,,,
,--- Pedaços: ,,,,,,
0207.27.10,---- Desossados…………………………,Kg,10,,,,
,---- Não desossadas: ,,,,,,
0207.27.20,----- Metades ou quartos,Kg,10,,,,
0207.27.30,"----- Asas inteiras, mesmo sem a ponta",Kg,10,,,,
0207.27.40,"-----Dorsos, pescoços, dorsos com pescoço, uropígios, pontas de asas",Kg,50,,,,
0207.27.50,----- Peitos e pedaços de peitos,Kg,10,,,,
0207.27.60,----- Coxas e pedaços de coxas,Kg,10,,,,
0207.27.70,----- Outros,Kg,10,,,,
,--- Miudezas: ,,,,,,
0207.27.80,---- Corações…………………………………………………,Kg,10,,,,
0207.27.90,"-- Outras (cabeça e partes da cabeça (incluindo as orelhas), patas, rabos, úberes, rins, figados, timos (molejas), pâncreas, miolos, bofes (pulmões), goelas, diafragmas, baços, redenhos, medulas espinais, peles comestíveis, órgãos reprodutores (por exemplo, úteros, ovários, testículos), tiroides e hipófises)…….....",Kg,50,,,,
,- De patos:,,,,,,
0207.41.00,"-- Não cortadas em pedaços, frescas ou refrigeradas…………..…………",Kg,10,,,,
0207.42.00,"-- Não cortadas em pedaços, congeladas………………..……..…………",Kg,10,,,,
0207.43.00,"-- Fígados gordos (foies gras), frescos ou refrigerados………..…………",Kg,10,,,,
0207.44.00,"-- Outras, frescas ou refrigeradas…………………………………………",Kg,10,,,,
,--- Pedaços: ,,,,,,
0207.44.10,---- Desossados…………………………,Kg,10,,,,
,---- Não desossadas: ,,,,,,
0207.44.20,----- Metades ou quartos,Kg,10,,,,
0207.44.30,"----- Asas inteiras, mesmo sem a ponta",Kg,10,,,,
0207.44.40,"-----Dorsos, pescoços, dorsos com pescoço, uropígios, pontas de asas",Kg,50,,,,
0207.44.50,----- Peitos e pedaços de peitos,Kg,10,,,,
0207.44.60,----- Coxas e pedaços de coxas,Kg,10,,,,
0207.44.70,----- Outros……………………………………………………………………………..,Kg,10,,,,
,--- Miudezas: ,,,,,,
0207.44.80,---- Corações………………………………………………………………………….,Kg,10,,,,
0207.44.90,"-- Outras (cabeça e partes da cabeça (incluindo as orelhas), patas, rabos, úberes, rins, figados) timos (molejas), pâncreas, miolos, bofes (pulmões), goelas, diafragmas, baços, redenhos, medulas espinais, peles comestíveis, órgãos reprodutores (por exemplo, úteros, ovários, testículos), tiroides e hipófises)…….....",Kg,50,,,,
0207.45.00,"-- Outras, congeladas……………………………………………..………",Kg,10,,,,
,--- Pedaços: ,,,,,,
0207.45.10,---- Desossados…………………………,Kg,10,,,,
,---- Não desossadas: ,,,,,,
0207.45.20,----- Metades ou quartos,Kg,10,,,,
0207.45.30,"----- Asas inteiras, mesmo sem a ponta",Kg,10,,,,
0207.45.40,"-----Dorsos, pescoços, dorsos com pescoço, uropígios, pontas de asas",Kg,50,,,,
0207.45.50,----- Peitos e pedaços de peitos,Kg,10,,,,
0207.45.60,----- Coxas e pedaços de coxas,Kg,10,,,,
0207.45.70,----- Outros……………………………………………………………………………..,Kg,10,,,,
,--- Miudezas: ,,,,,,
0207.45.80,---- Corações………………………………………………………………………….,Kg,10,,,,
0207.45.90,"-- Outras (cabeça e partes da cabeça (incluindo as orelhas), patas, rabos, úberes, rins, figados, timos (molejas), pâncreas, miolos, bofes (pulmões), goelas, diafragmas, baços, redenhos, medulas espinais, peles comestíveis, órgãos reprodutores (por exemplo, úteros, ovários, testículos), tiroides e hipófises)…….....",Kg,50,,,,
,- De gansos:,,,,,,
0207.51.00,"-- Não cortadas em pedaços, frescas ou refrigeradas………………..……",Kg,10,,,,
0207.52.00,"-- Não cortadas em pedaços, congeladas…………………………………",Kg,10,,,,
0207.53.00,"-- Fígados gordos (foies gras), frescos ou refrigerados……………..……",Kg,10,,,,
0207.54.00,"-- Outras, frescas ou refrigeradas…………………………………………",Kg,10,,,,
,--- Pedaços: ,,,,,,
0207.54.10,---- Desossados…………………………………,Kg,10,,,,
,---- Não desossadas: ,,,,,,
0207.54.20,----- Metades ou quartos,Kg,10,,,,
0207.54.30,"----- Asas inteiras, mesmo sem a ponta",Kg,10,,,,
0207.54.40,"-----Dorsos, pescoços, dorsos com pescoço, uropígios, pontas de asas",Kg,50,,,,
0207.54.50,----- Peitos e pedaços de peitos,Kg,10,,,,
0207.54.60,----- Coxas e pedaços de coxas,Kg,10,,,,
0207.54.70,----- Outros……………………………………………………………………………..,Kg,10,,,,
,--- Miudezas: ,,,,,,
0207.54.80,---- Corações………………………………………………………………………….,Kg,10,,,,
